fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-54,-64,-70,-72,-68,-69,-71,-74
1,-56,-65,-68,-74,-62,-70,-77,-74
2,-58,-65,-70,-72,-63,-70,-72,-73
3,-54,-63,-70,-76,-62,-68,-70,-74
4,-58,-66,-69,-73,-60,-67,-73,-70
5,-53,-69,-73,-74,-65,-67,-70,-75
6,-54,-63,-74,-77,-61,-64,-67,-77
7,-58,-62,-68,-72,-64,-67,-72,-76
8,-58,-65,-70,-75,-62,-64,-70,-72
9,-57,-67,-68,-70,-62,-66,-74,-71
10,-63,-70,-70,-70,-63,-68,-70,-75
11,-61,-65,-74,-74,-63,-68,-72,-75
12,-58,-65,-69,-73,-58,-64,-73,-74
13,-65,-67,-69,-74,-60,-63,-72,-74
14,-62,-69,-71,-73,-56,-64,-69,-74
15,-64,-68,-70,-76,-59,-64,-64,-73
16,-63,-68,-69,-72,-58,-62,-69,-71
17,-66,-67,-72,-73,-59,-67,-70,-74
18,-64,-69,-73,-72,-59,-67,-69,-75
19,-66,-67,-72,-74,-55,-68,-73,-75
20,-68,-67,-72,-74,-52,-65,-72,-74
21,-57,-64,-70,-69,-66,-69,-71,-70
22,-53,-62,-68,-75,-63,-69,-70,-73
23,-54,-65,-71,-72,-66,-66,-72,-72
24,-54,-62,-69,-75,-63,-67,-69,-73
25,-58,-62,-71,-73,-66,-68,-71,-73
26,-58,-65,-69,-74,-66,-63,-73,-71
27,-60,-67,-70,-70,-63,-66,-70,-71
28,-56,-63,-73,-73,-63,-67,-72,-70
29,-57,-67,-69,-74,-61,-62,-73,-77
30,-62,-64,-69,-75,-60,-70,-70,-72
31,-55,-65,-69,-74,-62,-68,-68,-67
32,-59,-68,-67,-73,-62,-69,-71,-73
33,-61,-68,-72,-73,-64,-67,-73,-74
34,-62,-69,-69,-75,-58,-65,-65,-74
35,-65,-67,-72,-73,-59,-61,-70,-71
36,-63,-67,-72,-72,-55,-65,-71,-74
37,-63,-67,-74,-70,-54,-63,-72,-75
38,-65,-70,-73,-71,-58,-61,-68,-70
39,-65,-67,-70,-71,-56,-64,-74,-73
40,-64,-66,-71,-74,-53,-66,-71,-72
41,-65,-65,-72,-74,-54,-68,-73,-73
42,-55,-63,-70,-75,-66,-69,-72,-72
43,-52,-61,-68,-73,-67,-71,-72,-73
44,-54,-63,-71,-74,-66,-65,-75,-75
45,-51,-65,-70,-71,-63,-71,-72,-72
46,-54,-68,-71,-73,-63,-68,-68,-71
47,-59,-65,-70,-74,-63,-68,-70,-74
48,-60,-65,-71,-73,-64,-67,-73,-76
49,-58,-67,-68,-73,-61,-66,-72,-72
50,-59,-60,-71,-72,-62,-68,-71,-74
51,-61,-64,-70,-71,-61,-64,-68,-72
52,-59,-64,-72,-73,-59,-66,-71,-72
53,-60,-63,-69,-74,-58,-65,-69,-75
54,-62,-65,-71,-73,-58,-65,-71,-71
55,-61,-64,-71,-69,-62,-61,-71,-71
56,-60,-64,-73,-69,-58,-64,-70,-70
57,-64,-68,-71,-72,-57,-59,-69,-71
58,-69,-67,-72,-75,-53,-67,-70,-71
59,-62,-72,-72,-75,-58,-66,-70,-74
60,-63,-68,-69,-72,-52,-65,-68,-71
61,-63,-67,-72,-75,-54,-63,-72,-72
62,-74,-72,-72,-70,-57,-64,-67,-74
63,-52,-60,-69,-71,-68,-68,-67,-75
64,-50,-64,-73,-73,-67,-69,-71,-75
65,-53,-62,-67,-73,-64,-69,-73,-75
66,-55,-61,-68,-71,-62,-70,-72,-75
67,-53,-65,-69,-72,-67,-68,-72,-74
68,-55,-65,-71,-73,-63,-69,-71,-72
69,-54,-64,-66,-71,-65,-63,-74,-71
70,-57,-62,-71,-70,-60,-67,-72,-75
71,-61,-60,-67,-76,-59,-64,-72,-74
72,-58,-65,-69,-73,-60,-62,-73,-73
73,-60,-63,-68,-73,-55,-67,-69,-71
74,-63,-66,-71,-69,-57,-64,-71,-75
75,-58,-65,-67,-73,-61,-63,-71,-71
76,-65,-65,-71,-75,-59,-63,-71,-74
77,-59,-64,-73,-72,-58,-60,-67,-72
78,-64,-63,-69,-73,-54,-63,-72,-72
79,-65,-63,-72,-73,-54,-61,-69,-70
80,-66,-64,-71,-69,-51,-63,-70,-73
81,-66,-69,-69,-71,-53,-64,-71,-74
82,-66,-65,-72,-74,-54,-66,-69,-72
83,-67,-67,-73,-71,-55,-65,-69,-74
84,-51,-66,-68,-74,-68,-65,-70,-74
85,-46,-63,-72,-72,-65,-68,-73,-71
86,-49,-62,-70,-69,-65,-68,-70,-71
87,-53,-60,-69,-71,-67,-66,-74,-76
88,-55,-64,-70,-72,-67,-66,-67,-72
89,-53,-61,-66,-69,-63,-64,-68,-72
90,-52,-63,-66,-73,-64,-64,-69,-72
91,-55,-65,-69,-76,-62,-65,-71,-73
92,-55,-63,-71,-70,-59,-65,-73,-71
93,-55,-65,-76,-73,-59,-66,-70,-71
94,-56,-65,-69,-73,-60,-63,-71,-70
95,-59,-70,-67,-73,-58,-65,-68,-71
96,-59,-63,-72,-77,-60,-63,-69,-73
97,-63,-66,-72,-73,-58,-65,-70,-72
98,-61,-64,-68,-70,-59,-67,-72,-73
99,-61,-67,-69,-71,-55,-66,-67,-70
100,-59,-68,-70,-71,-55,-60,-69,-74
101,-62,-65,-70,-72,-53,-61,-66,-72
102,-65,-67,-71,-75,-52,-64,-71,-72
103,-64,-65,-71,-72,-52,-64,-72,-74
104,-66,-68,-70,-73,-54,-65,-69,-72
105,-48,-61,-66,-72,-66,-65,-73,-74
106,-51,-60,-68,-69,-68,-70,-70,-74
