fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-56,-64,-69,-71,-67,-68,-70,-70
1,-55,-66,-70,-75,-67,-71,-71,-74
2,-54,-63,-71,-75,-64,-65,-69,-75
3,-53,-63,-74,-69,-64,-68,-72,-71
4,-57,-65,-72,-75,-66,-70,-72,-71
5,-59,-66,-72,-74,-67,-70,-70,-77
6,-58,-62,-71,-73,-67,-67,-69,-72
7,-58,-68,-68,-73,-60,-67,-73,-75
8,-60,-69,-74,-73,-61,-66,-75,-72
9,-56,-65,-69,-72,-61,-65,-70,-73
10,-57,-63,-70,-75,-61,-64,-69,-72
11,-61,-67,-70,-76,-58,-65,-66,-74
12,-59,-69,-73,-71,-58,-65,-70,-68
13,-63,-65,-72,-70,-58,-64,-71,-73
14,-65,-67,-69,-70,-56,-66,-69,-71
15,-66,-66,-69,-75,-61,-63,-70,-72
16,-65,-70,-73,-76,-61,-64,-69,-76
17,-63,-70,-72,-70,-57,-67,-75,-73
18,-65,-68,-68,-72,-55,-66,-74,-73
19,-66,-71,-69,-71,-56,-65,-69,-72
20,-65,-69,-73,-73,-54,-64,-71,-72
21,-55,-66,-70,-76,-65,-66,-74,-77
22,-55,-66,-72,-76,-67,-69,-70,-77
23,-49,-63,-68,-74,-61,-68,-68,-74
24,-54,-67,-71,-73,-64,-67,-72,-73
25,-53,-68,-74,-71,-65,-70,-71,-72
26,-55,-61,-68,-74,-64,-69,-73,-72
27,-56,-66,-72,-72,-65,-66,-72,-78
28,-62,-66,-73,-75,-64,-68,-71,-75
29,-56,-61,-72,-72,-63,-64,-73,-74
30,-58,-66,-72,-76,-62,-64,-73,-74
31,-58,-64,-68,-71,-57,-67,-68,-74
32,-62,-67,-71,-71,-62,-64,-75,-77
33,-58,-67,-71,-74,-61,-65,-70,-73
34,-59,-67,-73,-73,-60,-63,-68,-72
35,-61,-65,-70,-72,-60,-66,-69,-74
36,-64,-64,-74,-75,-55,-65,-71,-72
37,-66,-67,-71,-73,-55,-69,-68,-73
38,-66,-69,-68,-72,-57,-65,-70,-75
39,-64,-67,-68,-74,-56,-65,-69,-72
40,-65,-70,-74,-75,-57,-65,-68,-73
41,-63,-65,-72,-72,-59,-64,-74,-70
42,-51,-66,-70,-72,-66,-70,-72,-70
43,-51,-63,-68,-75,-60,-66,-73,-73
44,-50,-62,-70,-73,-65,-67,-74,-75
45,-54,-64,-65,-70,-61,-68,-70,-70
46,-57,-64,-69,-72,-67,-71,-70,-68
47,-56,-66,-71,-74,-64,-70,-71,-73
48,-54,-64,-74,-71,-62,-68,-72,-77
49,-56,-66,-71,-68,-62,-66,-70,-71
50,-60,-62,-69,-70,-61,-62,-71,-72
51,-58,-68,-70,-73,-60,-66,-70,-72
52,-56,-68,-70,-72,-59,-66,-70,-74
53,-62,-64,-73,-73,-57,-63,-71,-73
54,-60,-68,-72,-73,-61,-67,-67,-74
55,-62,-68,-71,-73,-55,-67,-70,-73
56,-64,-67,-70,-71,-57,-64,-69,-74
57,-63,-68,-72,-74,-55,-66,-67,-74
58,-61,-65,-71,-72,-54,-66,-69,-73
59,-66,-63,-71,-70,-54,-66,-69,-75
