fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-56,-63,-74,-73,-68,-70,-70,-73
1,-57,-66,-68,-74,-66,-70,-73,-75
2,-52,-64,-69,-74,-67,-73,-71,-71
3,-56,-66,-71,-75,-64,-70,-71,-72
4,-55,-66,-69,-70,-64,-67,-70,-72
5,-57,-66,-67,-74,-64,-69,-71,-72
6,-55,-64,-76,-73,-67,-66,-73,-74
7,-61,-65,-73,-73,-62,-68,-70,-74
8,-60,-65,-69,-74,-63,-65,-68,-71
9,-59,-65,-68,-71,-58,-67,-72,-75
10,-61,-69,-74,-77,-57,-67,-73,-73
11,-62,-65,-69,-72,-62,-64,-71,-73
12,-62,-68,-73,-76,-60,-67,-72,-75
13,-64,-68,-70,-71,-62,-68,-69,-74
14,-63,-69,-70,-74,-59,-63,-69,-73
15,-62,-70,-71,-74,-57,-65,-70,-75
16,-64,-66,-71,-74,-56,-66,-68,-72
17,-61,-68,-68,-78,-57,-67,-69,-76
18,-67,-68,-69,-74,-58,-66,-74,-73
19,-68,-69,-72,-76,-57,-64,-70,-73
20,-66,-67,-73,-70,-58,-65,-69,-75
21,-55,-63,-69,-69,-65,-70,-70,-70
22,-52,-65,-71,-74,-66,-70,-71,-73
23,-57,-63,-73,-70,-64,-70,-69,-76
24,-56,-65,-69,-75,-63,-68,-72,-76
25,-58,-67,-71,-73,-64,-70,-70,-74
26,-59,-63,-69,-76,-63,-66,-73,-73
27,-58,-66,-70,-71,-63,-66,-69,-71
28,-57,-65,-70,-73,-59,-63,-72,-71
29,-60,-62,-73,-76,-61,-66,-73,-71
30,-58,-64,-68,-71,-64,-65,-67,-74
31,-60,-67,-70,-71,-62,-67,-71,-74
32,-62,-68,-70,-72,-62,-68,-69,-75
33,-62,-69,-72,-77,-58,-64,-71,-73
34,-62,-64,-71,-77,-57,-65,-74,-74
35,-61,-66,-71,-73,-58,-66,-70,-74
36,-61,-68,-70,-75,-57,-63,-69,-72
37,-65,-72,-73,-74,-61,-67,-67,-73
38,-63,-65,-72,-71,-56,-67,-69,-74
39,-64,-66,-72,-75,-55,-67,-68,-76
40,-67,-65,-71,-77,-53,-64,-71,-75
41,-64,-68,-74,-73,-58,-62,-70,-72
42,-52,-65,-72,-71,-68,-67,-69,-73
43,-55,-66,-72,-70,-66,-67,-71,-74
44,-53,-66,-70,-70,-62,-67,-71,-74
45,-54,-64,-72,-71,-64,-68,-72,-70
46,-53,-61,-68,-71,-59,-65,-70,-72
47,-55,-62,-72,-73,-65,-67,-71,-75
48,-60,-63,-71,-73,-59,-66,-70,-73
49,-56,-67,-73,-70,-60,-64,-66,-71
50,-58,-64,-71,-70,-58,-67,-71,-73
51,-61,-63,-69,-71,-63,-65,-71,-73
52,-60,-68,-71,-72,-59,-68,-71,-71
53,-59,-66,-72,-74,-60,-66,-73,-71
54,-60,-64,-71,-76,-59,-70,-70,-70
55,-62,-64,-69,-71,-56,-62,-72,-73
56,-64,-68,-72,-70,-53,-62,-66,-71
57,-64,-65,-72,-69,-55,-67,-68,-75
58,-59,-65,-71,-69,-54,-67,-72,-72
59,-62,-66,-72,-74,-58,-64,-67,-71
60,-63,-63,-71,-70,-54,-66,-72,-74
61,-66,-69,-69,-77,-54,-65,-70,-75
62,-67,-68,-69,-73,-57,-55,-67,-70
63,-49,-62,-70,-69,-70,-69,-70,-74
64,-50,-65,-70,-75,-65,-67,-70,-71
65,-51,-65,-69,-70,-62,-65,-74,-75
66,-50,-62,-69,-73,-63,-70,-71,-79
67,-54,-64,-70,-74,-67,-66,-72,-76
68,-52,-62,-68,-73,-65,-68,-69,-74
69,-55,-62,-69,-77,-59,-67,-70,-70
70,-56,-64,-71,-73,-65,-65,-71,-69
71,-59,-65,-72,-73,-60,-64,-70,-71
72,-61,-65,-68,-74,-59,-61,-71,-72
73,-62,-65,-74,-72,-58,-65,-68,-77
74,-60,-67,-70,-70,-63,-61,-68,-72
75,-62,-67,-70,-77,-62,-62,-71,-73
76,-58,-67,-70,-75,-57,-64,-70,-74
77,-61,-64,-70,-78,-58,-61,-69,-74
78,-68,-65,-71,-72,-54,-65,-70,-74
79,-62,-65,-70,-76,-54,-65,-70,-75
80,-66,-68,-73,-71,-58,-66,-71,-73
81,-66,-67,-68,-73,-54,-66,-68,-71
82,-66,-67,-71,-75,-56,-60,-70,-73
83,-65,-67,-73,-74,-54,-61,-71,-74
84,-49,-62,-70,-71,-67,-68,-72,-73
85,-48,-60,-72,-72,-65,-67,-72,-74
86,-47,-63,-70,-71,-63,-66,-71,-72
87,-51,-66,-70,-73,-63,-65,-71,-73
88,-50,-62,-78,-74,-65,-63,-72,-74
89,-54,-60,-68,-69,-65,-65,-69,-73
90,-54,-67,-71,-67,-64,-67,-76,-72
91,-58,-66,-70,-73,-60,-64,-69,-73
