fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-54,-66,-76,-73,-67,-72,-70,-74
1,-60,-65,-73,-69,-67,-67,-71,-71
2,-54,-63,-73,-77,-63,-69,-67,-75
3,-52,-62,-68,-71,-65,-69,-73,-76
4,-54,-63,-71,-70,-61,-68,-72,-76
5,-57,-65,-73,-76,-64,-69,-70,-74
6,-60,-66,-73,-73,-65,-66,-72,-73
7,-62,-62,-69,-74,-66,-64,-74,-74
8,-57,-65,-70,-77,-60,-64,-69,-75
9,-60,-66,-73,-70,-62,-63,-68,-74
10,-60,-63,-66,-73,-61,-65,-68,-71
11,-59,-64,-68,-76,-60,-64,-76,-71
12,-67,-64,-67,-72,-60,-61,-70,-74
13,-64,-69,-72,-71,-61,-63,-70,-74
14,-64,-66,-72,-73,-57,-67,-68,-75
15,-62,-66,-71,-78,-58,-66,-69,-74
16,-63,-71,-71,-75,-55,-66,-69,-72
17,-66,-67,-70,-72,-59,-68,-71,-73
18,-66,-67,-69,-74,-54,-67,-71,-73
19,-64,-66,-74,-74,-56,-64,-67,-76
20,-63,-68,-71,-73,-59,-67,-70,-72
21,-57,-63,-72,-74,-67,-66,-71,-73
22,-53,-66,-73,-75,-65,-70,-69,-77
23,-52,-65,-71,-70,-61,-67,-70,-75
24,-55,-64,-68,-73,-65,-68,-70,-73
25,-53,-66,-69,-77,-67,-68,-69,-71
26,-57,-62,-71,-72,-65,-66,-74,-73
27,-60,-63,-66,-70,-64,-70,-68,-72
28,-61,-67,-68,-71,-65,-67,-74,-72
29,-59,-65,-72,-70,-65,-62,-71,-73
30,-59,-65,-69,-76,-60,-66,-68,-68
31,-59,-67,-70,-72,-59,-65,-74,-75
32,-65,-64,-68,-71,-58,-65,-70,-73
33,-62,-67,-71,-73,-60,-67,-72,-72
34,-63,-67,-72,-76,-61,-63,-69,-72
35,-60,-67,-69,-74,-60,-64,-67,-73
36,-64,-60,-68,-72,-56,-66,-72,-73
37,-63,-69,-70,-74,-57,-66,-70,-74
38,-66,-66,-67,-73,-57,-67,-70,-77
39,-64,-67,-69,-74,-52,-65,-68,-74
40,-67,-66,-70,-74,-54,-70,-70,-71
41,-68,-66,-75,-74,-58,-67,-68,-71
42,-54,-64,-73,-73,-68,-66,-71,-77
43,-52,-66,-68,-71,-66,-66,-73,-69
44,-53,-64,-73,-68,-65,-68,-67,-73
45,-51,-65,-71,-70,-62,-65,-70,-72
46,-53,-60,-69,-72,-64,-64,-68,-73
47,-55,-63,-72,-71,-61,-65,-70,-76
48,-57,-61,-67,-71,-61,-68,-70,-73
49,-55,-65,-68,-76,-61,-66,-72,-73
50,-57,-64,-70,-70,-61,-65,-71,-73
51,-58,-63,-69,-73,-63,-68,-70,-73
52,-56,-64,-71,-72,-60,-65,-69,-72
53,-58,-65,-72,-73,-59,-63,-70,-75
54,-61,-65,-69,-76,-60,-62,-71,-71
55,-64,-63,-68,-73,-56,-66,-70,-72
56,-63,-67,-68,-70,-54,-68,-73,-72
57,-64,-68,-67,-74,-59,-65,-69,-73
58,-67,-67,-70,-73,-57,-63,-70,-74
59,-68,-67,-73,-75,-56,-65,-70,-72
60,-62,-65,-71,-74,-56,-63,-68,-71
61,-67,-70,-73,-76,-60,-65,-72,-74
62,-66,-70,-71,-76,-56,-61,-67,-72
63,-53,-64,-67,-68,-66,-69,-71,-74
64,-52,-62,-68,-73,-65,-68,-72,-70
65,-51,-64,-70,-75,-64,-68,-70,-72
66,-51,-61,-71,-73,-66,-66,-68,-69
67,-55,-61,-72,-70,-65,-66,-69,-73
68,-51,-65,-67,-73,-65,-67,-72,-70
69,-54,-66,-67,-72,-62,-63,-68,-74
70,-53,-63,-73,-73,-61,-66,-70,-72
71,-59,-68,-72,-74,-61,-68,-67,-71
72,-57,-67,-71,-71,-61,-64,-71,-72
73,-60,-63,-69,-73,-56,-64,-74,-69
74,-63,-62,-69,-73,-60,-66,-67,-75
75,-62,-65,-69,-73,-57,-68,-67,-72
76,-63,-65,-71,-73,-61,-64,-69,-77
77,-65,-67,-70,-69,-56,-69,-68,-74
78,-62,-65,-72,-73,-56,-64,-72,-67
79,-61,-68,-70,-75,-53,-63,-74,-73
80,-67,-70,-71,-72,-56,-62,-69,-71
81,-65,-67,-70,-72,-52,-66,-67,-72
82,-68,-64,-69,-71,-54,-64,-69,-72
83,-66,-66,-73,-74,-52,-65,-68,-71
84,-50,-61,-70,-71,-63,-68,-70,-71
85,-47,-62,-69,-73,-65,-69,-76,-71
86,-49,-62,-66,-74,-62,-69,-69,-73
87,-54,-65,-69,-75,-66,-65,-68,-73
88,-55,-66,-69,-73,-66,-64,-69,-71
89,-54,-63,-67,-74,-66,-69,-73,-74
90,-55,-60,-70,-72,-62,-66,-70,-71
91,-58,-63,-71,-71,-61,-64,-70,-69
92,-56,-62,-70,-70,-63,-64,-73,-71
