fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-57,-64,-72,-72,-67,-68,-74,-75
1,-58,-61,-68,-74,-68,-69,-72,-72
2,-54,-66,-73,-72,-62,-69,-70,-73
3,-57,-61,-68,-73,-63,-69,-69,-72
4,-57,-66,-72,-72,-65,-71,-71,-75
5,-60,-65,-71,-75,-63,-65,-71,-77
6,-61,-66,-70,-74,-60,-66,-71,-70
7,-57,-66,-68,-74,-62,-68,-70,-71
8,-61,-68,-72,-69,-62,-68,-72,-71
9,-61,-65,-71,-75,-58,-66,-69,-74
10,-56,-70,-73,-75,-62,-65,-73,-73
11,-59,-64,-74,-69,-61,-65,-67,-74
12,-63,-66,-67,-73,-63,-63,-71,-70
13,-61,-65,-72,-73,-56,-62,-70,-73
14,-61,-67,-72,-76,-56,-67,-68,-76
15,-63,-70,-70,-76,-57,-65,-67,-75
16,-67,-73,-74,-71,-59,-63,-72,-74
17,-64,-68,-73,-73,-56,-69,-69,-73
18,-62,-70,-73,-75,-56,-64,-72,-66
19,-65,-68,-76,-79,-55,-68,-74,-73
20,-64,-66,-71,-71,-57,-67,-70,-72
21,-53,-68,-69,-72,-68,-67,-74,-74
22,-54,-63,-66,-75,-69,-66,-67,-74
23,-53,-69,-70,-73,-66,-67,-73,-73
24,-53,-65,-72,-72,-64,-64,-75,-71
25,-57,-60,-72,-70,-60,-66,-71,-72
26,-58,-67,-71,-70,-64,-65,-71,-74
27,-56,-67,-69,-73,-61,-67,-69,-70
28,-56,-66,-68,-74,-61,-65,-73,-73
29,-59,-67,-69,-77,-64,-65,-70,-71
30,-60,-65,-72,-72,-64,-64,-67,-72
31,-57,-66,-70,-75,-61,-65,-71,-69
32,-62,-64,-71,-75,-59,-65,-70,-72
33,-63,-67,-71,-72,-62,-67,-71,-73
34,-63,-69,-76,-75,-58,-67,-73,-68
35,-62,-65,-71,-70,-58,-63,-71,-70
36,-65,-68,-72,-71,-58,-66,-71,-70
37,-66,-66,-73,-75,-56,-69,-69,-71
38,-65,-69,-70,-74,-57,-68,-71,-74
39,-63,-71,-70,-74,-56,-65,-68,-68
40,-68,-63,-71,-74,-56,-66,-69,-71
41,-66,-68,-75,-75,-57,-65,-69,-75
42,-54,-65,-68,-72,-66,-68,-73,-76
43,-54,-60,-70,-74,-64,-69,-74,-73
44,-49,-62,-71,-72,-68,-67,-71,-76
45,-52,-65,-68,-71,-67,-66,-70,-73
46,-51,-63,-67,-71,-62,-69,-74,-77
47,-55,-67,-71,-73,-66,-63,-71,-71
48,-56,-62,-69,-73,-66,-64,-73,-73
49,-55,-67,-69,-73,-65,-67,-71,-72
50,-58,-66,-69,-75,-59,-63,-70,-71
51,-60,-64,-74,-73,-60,-65,-72,-72
52,-62,-63,-67,-74,-62,-63,-68,-72
53,-57,-66,-72,-70,-61,-66,-71,-73
54,-58,-60,-70,-75,-58,-65,-69,-73
55,-60,-65,-70,-70,-58,-68,-71,-74
56,-64,-67,-71,-74,-58,-65,-67,-73
57,-61,-65,-72,-75,-58,-65,-69,-72
58,-61,-67,-72,-72,-53,-65,-68,-76
59,-66,-68,-68,-72,-54,-65,-72,-71
60,-67,-65,-71,-74,-57,-62,-71,-75
61,-66,-67,-69,-75,-54,-64,-71,-71
62,-67,-70,-69,-76,-57,-68,-77,-70
63,-54,-68,-72,-76,-67,-66,-73,-77
64,-47,-67,-67,-73,-64,-67,-68,-74
65,-53,-61,-75,-73,-65,-66,-71,-73
66,-53,-65,-71,-74,-65,-67,-67,-73
67,-53,-66,-73,-71,-64,-61,-71,-74
68,-55,-63,-67,-75,-63,-66,-71,-77
69,-56,-62,-69,-72,-66,-67,-70,-74
70,-61,-64,-69,-73,-65,-68,-72,-69
71,-53,-65,-71,-73,-59,-63,-72,-76
72,-58,-62,-68,-72,-63,-66,-69,-72
73,-60,-64,-66,-74,-61,-64,-68,-71
74,-64,-64,-74,-71,-59,-66,-72,-72
75,-63,-66,-71,-73,-56,-62,-72,-74
76,-64,-70,-67,-73,-55,-66,-71,-74
77,-63,-68,-69,-74,-57,-60,-69,-72
78,-61,-67,-72,-74,-55,-64,-69,-75
79,-66,-67,-68,-74,-55,-67,-65,-71
80,-62,-63,-69,-74,-54,-64,-66,-73
81,-68,-64,-73,-72,-54,-65,-69,-76
82,-65,-66,-71,-75,-53,-66,-69,-71
83,-64,-68,-71,-76,-53,-61,-72,-77
84,-51,-62,-65,-69,-68,-65,-69,-77
85,-50,-65,-72,-72,-67,-70,-72,-76
86,-47,-62,-67,-72,-68,-67,-71,-72
87,-51,-62,-70,-74,-66,-64,-70,-74
88,-52,-61,-67,-73,-68,-66,-71,-70
89,-57,-63,-72,-71,-66,-70,-69,-70
90,-52,-64,-67,-77,-63,-64,-69,-70
91,-56,-65,-71,-74,-59,-62,-69,-75
92,-61,-62,-68,-74,-62,-61,-69,-71
93,-60,-63,-73,-71,-61,-65,-67,-72
94,-58,-63,-69,-68,-62,-63,-69,-72
95,-61,-66,-68,-72,-58,-61,-71,-73
96,-62,-65,-71,-72,-58,-67,-70,-70
97,-58,-67,-71,-72,-56,-65,-72,-71
98,-64,-64,-76,-73,-57,-63,-68,-72
99,-60,-69,-69,-76,-52,-62,-66,-75
100,-65,-64,-69,-75,-55,-65,-70,-73
101,-66,-65,-70,-72,-51,-62,-71,-68
102,-67,-64,-72,-70,-52,-60,-67,-69
103,-67,-68,-70,-74,-52,-64,-71,-73
104,-66,-70,-69,-73,-53,-60,-71,-70
105,-48,-62,-71,-72,-67,-68,-71,-71
106,-53,-62,-68,-72,-64,-64,-69,-73
107,-52,-64,-70,-71,-63,-72,-70,-73
108,-47,-61,-67,-72,-66,-63,-69,-74
109,-55,-62,-68,-73,-63,-61,-71,-73
