fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-56,-68,-72,-77,-68,-71,-73,-73
1,-55,-63,-72,-72,-67,-67,-67,-73
2,-55,-69,-70,-73,-65,-66,-68,-73
3,-56,-64,-72,-75,-67,-65,-71,-74
4,-53,-65,-69,-74,-63,-68,-71,-72
5,-52,-65,-73,-73,-61,-68,-68,-73
6,-58,-64,-72,-77,-62,-68,-71,-78
7,-60,-65,-68,-71,-64,-68,-72,-72
8,-59,-70,-71,-75,-61,-66,-72,-73
9,-58,-66,-73,-72,-58,-69,-72,-73
10,-62,-72,-71,-77,-59,-63,-66,-74
11,-63,-67,-73,-75,-62,-66,-67,-76
12,-63,-67,-70,-74,-58,-69,-69,-72
13,-64,-65,-71,-75,-60,-69,-72,-72
14,-66,-68,-71,-73,-62,-64,-72,-74
15,-63,-70,-74,-73,-60,-63,-72,-77
16,-65,-67,-73,-75,-57,-66,-70,-75
17,-65,-66,-74,-73,-61,-61,-68,-75
18,-64,-66,-72,-75,-58,-67,-69,-75
19,-64,-68,-72,-77,-59,-63,-73,-73
20,-66,-67,-75,-71,-57,-66,-72,-72
21,-59,-64,-72,-72,-65,-69,-72,-73
22,-56,-61,-73,-72,-68,-70,-70,-79
23,-54,-60,-69,-74,-68,-70,-70,-69
24,-54,-64,-67,-73,-63,-68,-71,-73
25,-56,-64,-68,-73,-62,-69,-73,-75
26,-59,-65,-70,-74,-63,-67,-69,-73
27,-58,-63,-70,-76,-62,-64,-67,-73
28,-57,-65,-71,-76,-63,-64,-69,-74
29,-60,-65,-72,-75,-63,-66,-71,-73
30,-60,-68,-68,-72,-63,-64,-69,-76
31,-60,-65,-71,-75,-63,-65,-69,-72
32,-63,-64,-72,-72,-63,-67,-69,-76
33,-59,-67,-73,-72,-59,-68,-69,-74
34,-64,-70,-72,-75,-55,-66,-68,-71
35,-64,-67,-71,-75,-56,-65,-69,-70
36,-68,-69,-72,-72,-57,-68,-69,-76
37,-60,-69,-67,-77,-54,-63,-72,-71
38,-66,-69,-69,-73,-58,-67,-73,-76
39,-68,-68,-72,-71,-57,-66,-70,-77
40,-64,-70,-75,-70,-56,-66,-69,-72
41,-66,-66,-74,-73,-57,-62,-72,-73
42,-55,-62,-70,-71,-63,-70,-69,-72
43,-49,-64,-70,-73,-68,-64,-70,-74
44,-50,-65,-72,-72,-63,-65,-71,-74
45,-56,-62,-76,-77,-68,-67,-70,-74
46,-50,-64,-70,-70,-64,-64,-75,-74
47,-55,-63,-72,-73,-64,-70,-73,-76
48,-56,-66,-71,-72,-66,-67,-69,-75
49,-55,-64,-72,-69,-62,-64,-68,-73
50,-61,-63,-67,-71,-63,-67,-69,-73
51,-57,-65,-71,-73,-60,-65,-68,-72
52,-60,-65,-72,-70,-62,-70,-67,-75
53,-60,-68,-71,-76,-60,-64,-68,-73
54,-63,-63,-73,-73,-61,-63,-66,-76
55,-61,-65,-67,-71,-59,-63,-70,-75
56,-59,-69,-72,-74,-58,-66,-70,-77
57,-63,-68,-69,-74,-56,-65,-72,-71
58,-63,-68,-70,-75,-54,-68,-69,-74
59,-61,-65,-73,-75,-56,-61,-70,-76
60,-66,-67,-72,-76,-55,-66,-71,-73
61,-68,-67,-70,-73,-55,-68,-67,-72
62,-65,-65,-71,-71,-54,-64,-72,-71
63,-50,-65,-65,-70,-63,-71,-71,-74
64,-49,-61,-70,-75,-62,-67,-72,-73
65,-51,-63,-67,-72,-66,-68,-74,-74
66,-48,-64,-72,-74,-67,-71,-73,-74
67,-57,-63,-69,-72,-64,-69,-74,-73
68,-55,-66,-70,-73,-64,-63,-73,-75
69,-56,-63,-72,-70,-62,-70,-70,-73
70,-59,-62,-71,-75,-63,-67,-73,-73
71,-58,-63,-73,-74,-59,-65,-68,-72
72,-62,-68,-73,-76,-62,-68,-69,-73
73,-57,-61,-69,-71,-58,-60,-73,-70
74,-61,-64,-71,-68,-60,-63,-71,-70
75,-59,-67,-73,-70,-62,-64,-69,-72
76,-61,-65,-70,-73,-55,-67,-73,-74
77,-67,-63,-69,-72,-58,-63,-66,-72
78,-61,-67,-74,-73,-57,-66,-72,-75
79,-67,-69,-71,-76,-54,-62,-73,-71
80,-65,-64,-70,-73,-55,-65,-69,-74
81,-61,-68,-70,-71,-56,-65,-70,-71
82,-65,-69,-70,-72,-55,-66,-67,-75
83,-62,-70,-71,-70,-52,-66,-68,-69
84,-48,-63,-69,-75,-63,-68,-71,-74
85,-48,-60,-68,-71,-66,-67,-72,-75
86,-49,-62,-71,-72,-65,-65,-69,-74
